dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
glove-200-angular,pdx-bsa-dz,68.4348,73.9727,61.9933,0.99987,512,16,10,10000,0.2,1,67.12,78.05,17.03,0
glove-200-angular,pdx-bsa-dz,45.6888,52.3736,38.6374,0.99841,256,16,10,10000,0.2,1,44.96,56.57,9.516,0
glove-200-angular,pdx-bsa-dz,41.348,47.5115,34.5412,0.99619,224,16,10,10000,0.2,1,40.71,51.17,8.307,0
glove-200-angular,pdx-bsa-dz,36.3941,42.4193,29.9286,0.992371,192,16,10,10000,0.2,1,35.83,46.37,7.782,0
glove-200-angular,pdx-bsa-dz,31.2095,36.9263,25.0921,0.98358,160,16,10,10000,0.2,1,30.73,41.42,6.995,0
glove-200-angular,pdx-bsa-dz,28.4481,33.852,22.5647,0.975069,144,16,10,10000,0.2,1,28.02,39.54,6.057,0
glove-200-angular,pdx-bsa-dz,25.6325,30.3096,20.1259,0.962407,128,16,10,10000,0.2,1,25.23,34.96,5.208,0
glove-200-angular,pdx-bsa-dz,22.7214,27.3158,17.5458,0.945346,112,16,10,10000,0.2,1,22.35,32.24,4.512,0
glove-200-angular,pdx-bsa-dz,19.721,24.196,14.9218,0.918545,96,16,10,10000,0.2,1,19.4,28.93,3.891,0
glove-200-angular,pdx-bsa-dz,16.6066,20.9987,12.1294,0.883222,80,16,10,10000,0.2,1,16.34,24.79,3.401,0
glove-200-angular,pdx-bsa-dz,13.4418,17.4985,9.2869,0.83598,64,16,10,10000,0.2,1,13.22,21.47,2.457,0
glove-200-angular,pdx-bsa-dz,11.8469,15.5325,7.86185,0.805939,56,16,10,10000,0.2,1,11.65,21.22,2.207,0
glove-200-angular,pdx-bsa-dz,10.1868,13.7889,6.29634,0.76994,48,16,10,10000,0.2,1,10.03,18.59,1.934,0
glove-200-angular,pdx-bsa-dz,8.52276,11.9304,4.81193,0.729873,40,16,10,10000,0.2,1,8.406,17.3,1.537,0
glove-200-angular,pdx-bsa-dz,6.91998,10.38,3.42153,0.683546,32,16,10,10000,0.2,1,6.841,14.92,1.251,0
glove-200-angular,pdx-bsa-dz,5.99586,9.16001,2.73131,0.655077,28,16,10,10000,0.2,1,5.932,14.07,0.9958,0
glove-200-angular,pdx-bsa-dz,5.56617,8.68807,2.38259,0.639737,26,16,10,10000,0.2,1,5.514,13.28,0.9212,0
glove-200-angular,pdx-bsa-dz,5.14183,8.16729,2.10137,0.624049,24,16,10,10000,0.2,1,5.099,13.13,0.8512,0
glove-200-angular,pdx-bsa-dz,4.7123,7.60596,1.77409,0.606439,22,16,10,10000,0.2,1,4.677,11.1,0.8067,0
glove-200-angular,pdx-bsa-dz,4.28285,6.98603,1.49537,0.58779,20,16,10,10000,0.2,1,4.256,11.15,0.7709,0
glove-200-angular,pdx-bsa-dz,3.85375,6.3917,1.24314,0.568211,18,16,10,10000,0.2,1,3.834,12.71,0.7111,0
glove-200-angular,pdx-bsa-dz,3.43202,5.83496,0.995765,0.546161,16,16,10,10000,0.2,1,3.42,10.54,0.6926,0
glove-200-angular,pdx-bsa-dz,3.00121,5.23339,0.773099,0.522672,14,16,10,10000,0.2,1,2.999,11.16,0.5794,0
glove-200-angular,pdx-bsa-dz,2.57947,4.6323,0.550437,0.499352,12,16,10,10000,0.2,1,2.581,10.62,0.4782,0
glove-200-angular,pdx-bsa-dz,2.16427,3.99985,0.364124,0.473683,10,16,10,10000,0.2,1,2.166,9.3,0.3641,0
glove-200-angular,pdx-bsa-dz,1.74523,3.31913,0.276742,0.445432,8,16,10,10000,0.2,1,1.751,8.331,0.2767,0
glove-200-angular,pdx-bsa-dz,1.32241,2.61801,0.189292,0.409642,6,16,10,10000,0.2,1,1.335,7.92,0.1893,0
glove-200-angular,pdx-bsa-dz,0.898925,1.86011,0.133833,0.364512,4,16,10,10000,0.2,1,0.9155,7.691,0.1338,0
glove-200-angular,pdx-bsa-dz,0.4746,1.04641,0.072645,0.286151,2,16,10,10000,0.2,1,0.4924,1.368,0.07265,0
sift-128-euclidean,pdx-bsa-dz,6.28292,10.0637,2.57636,0.99646,512,8,10,10000,0.2,1,6.3,12.73,1.461,0
sift-128-euclidean,pdx-bsa-dz,3.85655,5.71997,1.76639,0.99546,256,8,10,10000,0.2,1,3.859,9.143,0.7892,0
sift-128-euclidean,pdx-bsa-dz,3.48978,5.23847,1.61934,0.99507,224,8,10,10000,0.2,1,3.484,8.337,0.6956,0
sift-128-euclidean,pdx-bsa-dz,3.10487,4.70277,1.44366,0.99413,192,8,10,10000,0.2,1,3.095,7.77,0.5964,0
sift-128-euclidean,pdx-bsa-dz,2.69616,4.13449,1.24903,0.99256,160,8,10,10000,0.2,1,2.687,7.421,0.5112,0
sift-128-euclidean,pdx-bsa-dz,2.48326,3.82748,1.14064,0.99134,144,8,10,10000,0.2,1,2.476,6.99,0.4681,0
sift-128-euclidean,pdx-bsa-dz,2.26146,3.49997,1.03152,0.98963,128,8,10,10000,0.2,1,2.256,6.676,0.4236,0
sift-128-euclidean,pdx-bsa-dz,2.0293,3.153,0.900898,0.98726,112,8,10,10000,0.2,1,2.027,6.358,0.3842,0
sift-128-euclidean,pdx-bsa-dz,1.79157,2.80562,0.771736,0.98361,96,8,10,10000,0.2,1,1.789,6.224,0.3356,0
sift-128-euclidean,pdx-bsa-dz,1.54582,2.45796,0.640253,0.977589,80,8,10,10000,0.2,1,1.545,5.735,0.2902,0
sift-128-euclidean,pdx-bsa-dz,1.2857,2.06843,0.504406,0.968657,64,8,10,10000,0.2,1,1.287,5.461,0.2501,0
sift-128-euclidean,pdx-bsa-dz,1.152,1.87311,0.436808,0.961857,56,8,10,10000,0.2,1,1.154,4.927,0.2253,0
sift-128-euclidean,pdx-bsa-dz,1.01354,1.66107,0.364604,0.951756,48,8,10,10000,0.2,1,1.016,5.403,0.2023,0
sift-128-euclidean,pdx-bsa-dz,0.869536,1.43367,0.301652,0.938145,40,8,10,10000,0.2,1,0.8719,4.767,0.1859,0
sift-128-euclidean,pdx-bsa-dz,0.721727,1.19583,0.243469,0.916973,32,8,10,10000,0.2,1,0.7241,4.572,0.1566,0
sift-128-euclidean,pdx-bsa-dz,0.646597,1.07228,0.211379,0.903332,28,8,10,10000,0.2,1,0.6495,4.657,0.1463,0
sift-128-euclidean,pdx-bsa-dz,0.607851,1.00761,0.204506,0.895242,26,8,10,10000,0.2,1,0.6113,4.452,0.1401,0
sift-128-euclidean,pdx-bsa-dz,0.568656,0.947472,0.197625,0.885541,24,8,10,10000,0.2,1,0.5719,4.478,0.1305,0
sift-128-euclidean,pdx-bsa-dz,0.528175,0.881908,0.171376,0.87403,22,8,10,10000,0.2,1,0.5324,4.122,0.1225,0
sift-128-euclidean,pdx-bsa-dz,0.487625,0.814298,0.153604,0.861889,20,8,10,10000,0.2,1,0.4927,4.305,0.1189,0
sift-128-euclidean,pdx-bsa-dz,0.446317,0.744179,0.141576,0.846988,18,8,10,10000,0.2,1,0.4524,4.174,0.1119,0
sift-128-euclidean,pdx-bsa-dz,0.404318,0.676508,0.132799,0.828876,16,8,10,10000,0.2,1,0.4116,4.23,0.1032,0
sift-128-euclidean,pdx-bsa-dz,0.362286,0.608209,0.118588,0.807168,14,8,10,10000,0.2,1,0.3697,4.178,0.09866,0
sift-128-euclidean,pdx-bsa-dz,0.319287,0.534458,0.106938,0.77996,12,8,10,10000,0.2,1,0.3275,3.996,0.09249,0
sift-128-euclidean,pdx-bsa-dz,0.275778,0.459171,0.095891,0.745541,10,8,10,10000,0.2,1,0.2837,3.93,0.0848,0
sift-128-euclidean,pdx-bsa-dz,0.231297,0.382745,0.08603,0.701394,8,8,10,10000,0.2,1,0.2387,3.894,0.07767,0
sift-128-euclidean,pdx-bsa-dz,0.185976,0.304618,0.070975,0.641526,6,8,10,10000,0.2,1,0.1929,3.838,0.07097,0
sift-128-euclidean,pdx-bsa-dz,0.139333,0.224203,0.06638,0.552437,4,8,10,10000,0.2,1,0.1448,3.804,0.06638,0
sift-128-euclidean,pdx-bsa-dz,0.0888308,0.137336,0.042113,0.403721,2,8,10,10000,0.2,1,0.09152,0.2292,0.04211,0
gist-960-euclidean,pdx-bsa-dz,26.3129,53.6981,2.42273,0.9964,512,8,10,1000,0.2,1,26.41,75.31,2.423,0
gist-960-euclidean,pdx-bsa-dz,20.1215,40.4967,1.49392,0.993201,256,8,10,1000,0.2,1,20.12,40.5,1.494,0
gist-960-euclidean,pdx-bsa-dz,18.1741,37.159,1.49814,0.991901,224,8,10,1000,0.2,1,18.17,37.16,1.498,0
gist-960-euclidean,pdx-bsa-dz,16.8587,33.4974,1.38884,0.989501,192,8,10,1000,0.2,1,16.88,38.72,1.389,0
gist-960-euclidean,pdx-bsa-dz,15.7934,30.9211,1.0691,0.985001,160,8,10,1000,0.2,1,15.81,37.12,1.069,0
gist-960-euclidean,pdx-bsa-dz,14.7766,28.7618,0.989574,0.982901,144,8,10,1000,0.2,1,14.78,28.76,0.9896,0
gist-960-euclidean,pdx-bsa-dz,13.817,26.1044,1.0354,0.980401,128,8,10,1000,0.2,1,13.84,34.93,1.035,0
gist-960-euclidean,pdx-bsa-dz,12.7684,27.43,0.957416,0.974801,112,8,10,1000,0.2,1,12.77,27.43,0.9574,0
gist-960-euclidean,pdx-bsa-dz,11.9232,24.9348,0.860548,0.967301,96,8,10,1000,0.2,1,11.94,28.0,0.8605,0
gist-960-euclidean,pdx-bsa-dz,10.678,21.7956,0.782363,0.955301,80,8,10,1000,0.2,1,10.68,21.8,0.7824,0
gist-960-euclidean,pdx-bsa-dz,9.25047,18.944,0.714349,0.937701,64,8,10,1000,0.2,1,9.25,18.94,0.7143,0
gist-960-euclidean,pdx-bsa-dz,8.49178,17.7791,0.646342,0.926701,56,8,10,1000,0.2,1,8.518,24.78,0.6463,0
gist-960-euclidean,pdx-bsa-dz,7.54335,15.8736,0.590162,0.909401,48,8,10,1000,0.2,1,7.56,16.07,0.5902,0
gist-960-euclidean,pdx-bsa-dz,6.64877,13.9458,0.583917,0.886301,40,8,10,1000,0.2,1,6.725,14.6,0.5839,0
gist-960-euclidean,pdx-bsa-dz,5.69526,11.8906,0.576561,0.851001,32,8,10,1000,0.2,1,5.837,13.51,0.5766,0
gist-960-euclidean,pdx-bsa-dz,5.21951,10.6145,0.580041,0.831701,28,8,10,1000,0.2,1,5.375,12.05,0.58,0
gist-960-euclidean,pdx-bsa-dz,5.07609,10.4421,0.572846,0.819901,26,8,10,1000,0.2,1,5.275,16.98,0.5728,0
gist-960-euclidean,pdx-bsa-dz,4.69524,9.61343,0.547706,0.804001,24,8,10,1000,0.2,1,4.932,12.0,0.5477,0
gist-960-euclidean,pdx-bsa-dz,4.44188,9.2361,0.536515,0.786301,22,8,10,1000,0.2,1,4.688,15.73,0.5365,0
gist-960-euclidean,pdx-bsa-dz,4.176,8.49979,0.539546,0.766201,20,8,10,1000,0.2,1,4.394,10.48,0.5395,0
gist-960-euclidean,pdx-bsa-dz,3.82194,7.80201,0.529729,0.746901,18,8,10,1000,0.2,1,4.057,9.966,0.5297,0
gist-960-euclidean,pdx-bsa-dz,3.50967,7.09217,0.506875,0.7242,16,8,10,1000,0.2,1,3.73,9.64,0.5069,0
gist-960-euclidean,pdx-bsa-dz,3.1943,6.37621,0.502009,0.6932,14,8,10,1000,0.2,1,3.405,8.7,0.502,0
gist-960-euclidean,pdx-bsa-dz,2.86556,5.66317,0.480252,0.6593,12,8,10,1000,0.2,1,3.073,8.005,0.4803,0
gist-960-euclidean,pdx-bsa-dz,2.5687,4.90547,0.46781,0.6213,10,8,10,1000,0.2,1,2.723,9.672,0.4678,0
gist-960-euclidean,pdx-bsa-dz,2.18299,4.22497,0.45376,0.5725,8,8,10,1000,0.2,1,2.305,6.016,0.4538,0
gist-960-euclidean,pdx-bsa-dz,1.80423,3.39628,0.437978,0.5118,6,8,10,1000,0.2,1,1.92,5.014,0.438,0
gist-960-euclidean,pdx-bsa-dz,1.41279,2.56947,0.420075,0.4276,4,8,10,1000,0.2,1,1.492,4.162,0.4201,0
gist-960-euclidean,pdx-bsa-dz,0.964503,1.71414,0.412962,0.2992,2,8,10,1000,0.2,1,1.007,2.75,0.413,0
deep-image-96-angular,pdx-bsa-dz,12.1266,19.9917,4.22309,0.98001,512,8,10,10000,0.2,1,12.12,24.99,3.382,0
deep-image-96-angular,pdx-bsa-dz,6.99357,12.1203,1.98695,0.974629,256,8,10,10000,0.2,1,7.006,20.33,1.987,0
deep-image-96-angular,pdx-bsa-dz,6.26982,10.8995,1.58595,0.972679,224,8,10,10000,0.2,1,6.288,13.97,1.586,0
deep-image-96-angular,pdx-bsa-dz,5.60109,9.84088,1.48708,0.970448,192,8,10,10000,0.2,1,5.621,13.05,1.487,0
deep-image-96-angular,pdx-bsa-dz,4.92687,8.73433,1.2002,0.966747,160,8,10,10000,0.2,1,4.976,13.39,1.2,0
deep-image-96-angular,pdx-bsa-dz,4.37429,7.77171,1.16629,0.964757,144,8,10,10000,0.2,1,4.416,13.4,1.166,0
deep-image-96-angular,pdx-bsa-dz,4.02307,7.25867,1.02134,0.961847,128,8,10,10000,0.2,1,4.096,15.22,1.021,0
deep-image-96-angular,pdx-bsa-dz,3.64468,6.63785,0.928645,0.958257,112,8,10,10000,0.2,1,3.733,13.08,0.9286,0
deep-image-96-angular,pdx-bsa-dz,3.23126,5.85054,0.844037,0.953075,96,8,10,10000,0.2,1,3.318,10.01,0.844,0
deep-image-96-angular,pdx-bsa-dz,2.72767,4.94687,0.756031,0.946085,80,8,10,10000,0.2,1,2.793,13.42,0.756,0
deep-image-96-angular,pdx-bsa-dz,2.3252,4.23332,0.599501,0.935844,64,8,10,10000,0.2,1,2.401,7.212,0.5995,0
deep-image-96-angular,pdx-bsa-dz,2.0849,3.80363,0.572424,0.928274,56,8,10,10000,0.2,1,2.157,9.749,0.5724,0
deep-image-96-angular,pdx-bsa-dz,1.776,3.23306,0.509932,0.918813,48,8,10,10000,0.2,1,1.828,5.183,0.5099,0
