dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
openai-1536-angular,1999,2,3,1.0000000,0,0,1758,0,0.0359802,0.0015411,0.0000000,0.0000000,1.0014496,1.1028392730000001,0.6523999571800232,0.0543059110641479,0,0,0.0000000
openai-1536-angular,1999,4,3,1.0000000,0,0,5034,0,0.0193032,0.0018125,0.0000000,0.0000000,1.0021368,1.6362580260000001,0.7394999861717224,0.0367442369461060,0,0,0.0000000
openai-1536-angular,1999,6,3,1.0000000,0,0,7862,0,0.0133277,0.0020814,0.0000000,0.0000000,1.0022702,2.1386772570000003,0.7805999517440796,0.0292829275131226,0,0,0.0000000
openai-1536-angular,1999,8,3,1.0000000,25,0,11766,0,0.0102338,0.0022882,0.0000000,0.0000000,1.0025907,2.8204330880000001,0.8055999875068665,0.0250818729400635,0,0,0.0000000
openai-1536-angular,1999,10,3,1.0000000,41,0,15217,0,0.0082966,0.0023755,0.0000000,0.0000000,1.0027008,3.8197831500000001,0.8258999586105347,0.0214706659317017,0,0,0.0000000
openai-1536-angular,1999,12,3,1.0000000,51,0,17438,0,0.0070090,0.0023110,0.0000000,0.0000000,1.0026025,5.3281469630000000,0.8422999978065491,0.0188628435134888,0,0,0.0000000
openai-1536-angular,1999,14,3,1.0000000,507,0,20534,0,0.0060750,0.0023925,0.0000000,0.0000000,1.0027045,5.0088594440000005,0.8534999489784241,0.0172591209411621,0,0,0.0000000
openai-1536-angular,1999,16,3,1.0000000,507,0,23847,0,0.0053660,0.0025464,0.0000000,0.0000000,1.0027565,6.4255622860000008,0.8641999959945679,0.0153937339782715,0,0,0.0000000
openai-1536-angular,1999,18,3,1.0000000,507,0,25783,0,0.0047959,0.0024873,0.0000000,0.0000000,1.0026528,6.8324999990000004,0.8728999495506287,0.0141059160232544,0,0,0.0000000
openai-1536-angular,1999,20,3,1.0000000,665,0,29337,0,0.0043323,0.0025284,0.0000000,0.0000000,1.0027292,8.0579524259999999,0.8797999620437622,0.0130710601806641,0,0,0.0000000
openai-1536-angular,1999,22,3,1.0000000,665,0,32420,0,0.0039569,0.0026039,0.0000000,0.0000000,1.0027436,6.7092312730000003,0.8867999911308289,0.0120120048522949,0,0,0.0000000
openai-1536-angular,1999,24,3,1.0000000,665,0,35062,0,0.0036439,0.0026472,0.0000000,0.0000000,1.0027245,7.2121196410000001,0.8921999931335449,0.0113288164138794,0,0,0.0000000
openai-1536-angular,1999,26,3,1.0000000,665,0,38015,0,0.0033779,0.0026256,0.0000000,0.0000000,1.0027306,7.5141802750000002,0.8977999687194824,0.0106310844421387,0,0,0.0000000
openai-1536-angular,1999,28,3,1.0000000,665,0,40984,0,0.0031460,0.0026755,0.0000000,0.0000000,1.0027351,8.0043891729999999,0.9016000032424927,0.0103032588958740,0,0,0.0000000
openai-1536-angular,1999,32,3,1.0000000,665,0,44563,0,0.0027658,0.0025859,0.0000000,0.0000000,1.0026059,9.1037538910000002,0.9092999696731567,0.0091288089752197,0,0,0.0000000
openai-1536-angular,1999,40,3,1.0000000,665,0,55953,0,0.0022310,0.0026513,0.0000000,0.0000000,1.0026220,10.7649432290000000,0.9235000014305115,0.0075746774673462,0,0,0.0000000
openai-1536-angular,1999,48,3,1.0000000,670,0,66146,0,0.0018724,0.0026931,0.0000000,0.0000000,1.0025908,12.7979372020000000,0.9332999587059021,0.0065078735351562,0,0,0.0000000
openai-1536-angular,1999,56,3,1.0000000,670,0,76336,0,0.0016115,0.0027204,0.0000000,0.0000000,1.0025661,14.6198315330000010,0.9391999840736389,0.0058302879333496,0,0,0.0000000
openai-1536-angular,1999,64,3,1.0000000,670,0,87049,0,0.0014167,0.0027362,0.0000000,0.0000000,1.0025654,16.4098239290000016,0.9465000033378601,0.0049494504928589,0,0,0.0000000
openai-1536-angular,1999,80,3,1.0000000,670,0,111475,0,0.0011388,0.0028461,0.0000000,0.0000000,1.0026305,20.3413992860000015,0.9562999606132507,0.0039671659469604,0,0,0.0000000
openai-1536-angular,1999,96,3,1.0000000,670,0,134137,0,0.0009529,0.0028824,0.0000000,0.0000000,1.0026420,24.2142300640000023,0.9630999565124512,0.0032960176467896,0,0,0.0000000
openai-1536-angular,1999,112,3,1.0000000,670,0,154539,0,0.0008192,0.0028618,0.0000000,0.0000000,1.0026122,30.8042877230000016,0.9678999781608582,0.0027868747711182,0,0,0.0000000
openai-1536-angular,1999,128,3,1.0000000,1038,0,177041,0,0.0007183,0.0028788,0.0000000,0.0000000,1.0026262,32.3072408320000051,0.9705999493598938,0.0025197267532349,0,0,0.0000000
openai-1536-angular,1999,144,3,1.0000000,1153,0,198361,0,0.0006398,0.0028766,0.0000000,0.0000000,1.0026186,35.7475564200000022,0.9742999672889709,0.0021616220474243,0,0,0.0000000
openai-1536-angular,1999,160,3,1.0000000,1190,0,219344,0,0.0005768,0.0028644,0.0000000,0.0000000,1.0026079,39.5546379080000037,0.9765999913215637,0.0019228458404541,0,0,0.0000000
openai-1536-angular,1999,192,3,1.0000000,1377,0,264605,0,0.0004819,0.0028995,0.0000000,0.0000000,1.0026256,47.0971016149999997,0.9810999631881714,0.0016034841537476,0,0,0.0000000
openai-1536-angular,1999,224,3,1.0000000,1382,0,312389,0,0.0004142,0.0029610,0.0000000,0.0000000,1.0026608,54.6642281660000009,0.9831999540328979,0.0013976097106934,0,0,0.0000000
openai-1536-angular,1999,256,3,1.0000000,1647,0,358458,0,0.0003633,0.0029916,0.0000000,0.0000000,1.0026770,62.3645573870000050,0.9854999780654907,0.0011820793151855,0,0,0.0000000
openai-1536-angular,1999,512,3,1.0000000,2615,0,761354,0,0.0001830,0.0032826,0.0000000,0.0000000,1.0028555,123.3423743230000014,0.9942999482154846,0.0003876686096191,0,0,0.0000000
